date,exercise,reps,weight,setNumber,duration,notes,muscleGroup
2026-03-03,Bench Press,8,185,1,,Starting point,Chest
2026-03-03,Incline Dumbbell Press,10,60,2,,Hypertrophy reps,Chest
2026-03-03,Barbell Row,6,215,1,,Heavy rows,Back
2026-03-05,Barbell Row,8,215,1,,Volume day,Back
2026-03-05,Pull Up,8,0,2,,Strict form,Back
2026-03-05,Bent Over Row,10,185,3,,Controlled tempo,Back
2026-03-07,Back Squat,5,275,1,,Strength focus,Legs
2026-03-07,Leg Press,10,450,2,,Depth improved,Legs
2026-03-07,Leg Curl,12,200,3,,High reps,Legs
2026-03-10,Shoulder Press,6,185,1,,Solid lockout,Shoulders
2026-03-10,Lateral Raise,12,35,2,,Shoulder width,Shoulders
2026-03-10,Face Pull,15,90,3,,Rear delts,Shoulders
2026-03-12,Deadlift,4,365,1,,Heavy single,Back
2026-03-12,Bench Press,6,205,2,,RPE 8,Chest
2026-03-12,Front Squat,5,225,1,,Quad emphasis,Legs
2026-03-14,Incline Dumbbell Press,8,70,1,,Weight up +10,Chest
2026-03-14,Cable Fly,12,100,2,,Full stretch,Chest
2026-03-14,Dumbbell Row,8,100,3,,Single arm,Back
2026-03-17,Back Squat,6,285,1,,Reps up from 275,Legs
2026-03-17,Romanian Deadlift,8,315,2,,Hamstring work,Legs
2026-03-17,Leg Extension,12,245,3,,Quad finisher,Legs
2026-03-19,Shoulder Press,7,185,1,,Reps up,Shoulders
2026-03-19,Dumbbell Press,8,75,2,,Stability challenge,Shoulders
2026-03-19,Plate Raise,10,25,3,,Front raises,Shoulders
2026-03-21,Deadlift,3,385,1,,PR attempt,Back
2026-03-21,Barbell Row,7,220,2,,Form solid,Back
2026-03-21,Lat Pulldown,10,240,3,,Mind muscle,Back
2026-03-23,Bench Press,5,215,1,,Deload week - lighter,Chest
2026-03-23,Dumbbell Bench,8,65,2,,Volume maintenance,Chest
2026-03-24,Back Squat,5,265,1,,Deload - recovery,Legs
2026-03-24,Leg Press,8,420,2,,Easier day,Legs
2026-03-24,Hamstring Curl,10,180,3,,Light pump,Legs
2026-03-26,Shoulder Press,5,185,1,,Deload form work,Shoulders
2026-03-26,Machine Press,8,200,2,,Controlled reps,Shoulders
2026-03-28,Bench Press,6,220,1,,Pushing again,Chest
2026-03-28,Back Squat,6,295,1,,Building back,Legs
2026/03/29,Bench Press,8,135,1,,Bad date format,Chest
2026-03-30,,10,200,1,,Missing exercise name,Back
